Date,ADR,Occupancy
2019-05-29,120.6212563,49.9654009
2019-05-30,120.7619685,51.465419
2019-05-31,122.2042217,41.9391812
2019-06-01,122.1611293,53.567936
2019-06-02,124.2460055,46.0189602
2019-06-03,124.1681951,37.7472277
2019-06-04,124.344178,40.6502537
2019-06-05,124.0090562,40.4852335
2019-06-06,123.8717501,35.5283924
2019-06-07,124.5501498,38.2913994
2019-06-08,124.7262447,43.6622681
2019-06-09,123.7619641,35.5151171
2019-06-10,123.7361961,40.5444952
2019-06-11,123.7702104,43.4230574
2019-06-12,124.4819074,46.6577871
2019-06-13,124.1706723,52.2121999
2019-06-14,123.9512198,53.2067515
2019-06-15,123.7958732,50.012094
2019-06-16,121.9617725,49.2203206
2019-06-17,121.7252826,45.3548509
2019-06-18,123.0334488,50.0880298
2019-06-19,120.7592451,48.4087712
2019-06-20,120.8108222,53.2301755
2019-06-21,123.3102032,49.8777133
2019-06-22,123.4957799,36.4960146
2019-06-23,123.8334297,36.5428525
2019-06-24,123.1344522,54.5551387
2019-06-25,122.0538624,54.399656
2019-06-26,122.3990147,58.4825439
2019-06-27,123.1754425,47.4345489
2019-06-28,127.20409,64.0272206
2019-06-29,128.3394291,60.796149
2019-06-30,127.2086663,60.995358
2019-07-01,128.7636105,58.8014093
2019-07-02,129.9534838,48.96806
2019-07-03,128.9053568,46.2719879
2019-07-04,129.9906125,53.7295847
2019-07-05,128.3575715,68.7886158
2019-07-06,127.4757462,70.6722042
2019-07-07,127.0893285,62.6224105
2019-07-08,126.4868902,60.2024456
2019-07-09,126.8839761,58.2614971
2019-07-10,125.8975034,59.8712121
2019-07-11,127.2293058,52.3108613
2019-07-12,127.8044262,57.2730361
2019-07-13,127.7649297,65.0952055
2019-07-14,124.638669,59.9287882
2019-07-15,124.3274192,60.1496869
2019-07-16,125.9097797,60.886436
2019-07-17,125.3161175,56.739051
2019-07-18,125.2390711,59.2835641
2019-07-19,125.4821049,60.1370993
2019-07-20,126.2640966,57.1189668
2019-07-21,124.6171298,53.4851106
2019-07-22,123.1116791,47.1467418
2019-07-23,122.7326262,40.4434533
2019-07-24,122.2135135,48.8058793
2019-07-25,122.0366407,55.1494929
2019-07-26,123.7708543,60.3912971
2019-07-27,123.7759215,52.572778
2019-07-28,122.6722541,48.990728
2019-07-29,122.654028,45.476938
2019-07-30,123.0625384,50.08201
2019-07-31,123.222821,47.6575943
2019-08-01,123.8064011,48.3180465
2019-08-02,123.4319194,59.766751
2019-08-03,125.5687191,65.2521347
2019-08-04,125.0844439,57.3869931
2019-08-05,124.1338615,55.4979466
2019-08-06,123.7205093,57.8566422
2019-08-07,124.1914773,49.4561129
2019-08-08,124.1623804,57.3628503
2019-08-09,125.6271919,57.9241012
2019-08-10,125.5807777,63.0684514
2019-08-11,125.0042432,58.244725
2019-08-12,124.965329,55.4942779
2019-08-13,124.8246117,43.8114994
2019-08-14,124.8499589,54.3267004
2019-08-15,124.5399484,60.0492179
2019-08-16,127.1950042,62.2352825
2019-08-17,129.8222152,57.2856829
2019-08-18,128.4865843,58.0311448
2019-08-19,128.3098177,47.3244673
2019-08-20,127.2388297,42.7813771
2019-08-21,127.4021455,55.5085982
2019-08-22,128.0789223,66.1781395
2019-08-23,129.1910008,60.3181467
2019-08-24,128.9397229,62.0606826
2019-08-25,126.8297758,54.3020038
2019-08-26,126.0830696,55.0830973
2019-08-27,126.0292131,55.4989114
2019-08-28,125.2198104,57.3189282
2019-08-29,125.1939347,58.1400769
2019-08-30,126.4059394,55.5657559
2019-08-31,125.7149384,58.2683722
2019-09-01,133.5696269,63.4020396
2019-09-02,124.6677395,53.4845354
2019-09-03,124.1621462,55.2527901
2019-09-04,124.2399792,47.8999349
2019-09-05,124.2301156,52.9834076
2019-09-06,125.0606941,58.8736709
2019-09-07,135.6910499,53.3122277
2019-09-08,133.7294956,51.8068358
2019-09-09,132.6042722,64.1875968
2019-09-10,132.7927241,44.4313753
2019-09-11,132.9176007,59.483382
2019-09-12,132.4889715,46.4224386
2019-09-13,133.4302399,53.0823146
2019-09-14,133.753929,58.7713579
2019-09-15,132.9523224,49.7096177
2019-09-16,132.4999957,57.1232026
2019-09-17,132.6360888,48.1160228
2019-09-18,132.6444359,52.5298511
2019-09-19,134.8626446,54.3865269
2019-09-20,139.561028,66.0683338
2019-09-21,132.0106428,68.8659395
2019-09-22,128.2465098,53.7764903
2019-09-23,127.5015084,65.1025768
2019-09-24,128.5006601,58.6562473
2019-09-25,129.1995554,54.8681226
2019-09-26,129.4532648,57.9543071
2019-09-27,130.5814597,64.9736922
2019-09-28,129.7596245,71.1111719
2019-09-29,128.508889,59.8103975
2019-09-30,128.6726688,62.7498419
2019-10-01,129.4200345,65.5416626
2019-10-02,127.2084495,51.9420746
2019-10-03,127.7079419,63.4770716
2019-10-04,128.7202105,69.9080468
2019-10-05,129.1632814,68.1644815
2019-10-06,128.0736359,61.0756226
2019-10-07,126.2606092,61.5925475
2019-10-08,125.8324909,50.543607
2019-10-09,125.5491373,59.2753953
2019-10-10,125.1435518,52.8542897
2019-10-11,124.7611349,58.848138
2019-10-12,124.6047313,59.1352118
2019-10-13,123.6393175,46.921815
2019-10-14,124.6199527,53.6668777
2019-10-15,123.348329,34.6894471
2019-10-16,122.675409,56.0355304
2019-10-17,124.1201076,59.3398032
2019-10-18,124.3443826,61.2412621
2019-10-19,125.1041998,61.468679
2019-10-20,123.4330302,61.70421
2019-10-21,125.6481127,57.4385252
2019-10-22,125.6344612,56.2979286
2019-10-23,125.6749891,58.069614
2019-10-24,124.1748039,59.9756652
2019-10-25,125.5516646,59.3142475
2019-10-26,126.1155357,59.4716793
2019-10-27,124.940137,57.9394964
2019-10-28,124.9198253,57.1374579
2019-10-29,124.5757456,59.7146099
2019-10-30,124.7232898,53.5122631
2019-10-31,124.6897782,55.5300541
2019-11-01,126.3852171,60.5133427
2019-11-02,126.432295,56.2842431
2019-11-03,124.2278058,50.6232509
2019-11-04,122.322922,54.4128429
2019-11-05,129.0263596,50.6700897
2019-11-06,128.9895414,49.9272121
2019-11-07,129.7671967,55.2219814
2019-11-08,130.2383258,57.3780594
2019-11-09,130.5179181,59.4845478
2019-11-10,129.2071616,53.8768425
2019-11-11,128.0428386,54.4180939
2019-11-12,128.1450527,52.6037292
2019-11-13,128.1513767,54.4487833
